,loan_identifier,borrower_identifier,term,purpose,borrower_rating,employment,region,facebook,twitter,paypal,ebay,linkedin,currency,base_currency,location,funded,time_between_published_funded,ratio_requested_funded,amount_funded,address_lat,address_lng,net_income_cents,rates_paid,rates_count,prices,portion_average_salary,nominal_interest_rate,status
1170,1071,219,4,3,3,1,33,0,0,0,0,0,22,0,27,0,90302,0.0,0,28.349705,77.328463,27628000,0.0,0.0,31927.7568013,865.328565735,1994,canceled
1171,1072,254,0,6,2,2,20,0,0,0,0,0,54,1,17,0,90302,0.00263157894737,1000000,51.517035,-0.131344,400000,0.0,0.0,2586.33442623,154.659040201,1453,canceled
1172,1073,219,4,3,3,1,33,0,0,0,0,0,22,0,27,1,13,1.0,70000000,28.349705,77.328463,27628000,0.0,1.0,31927.7568013,865.328565735,1994,defaulted
1173,1074,171,0,2,2,1,7,0,0,0,0,0,5,0,8,0,90302,0.209090909091,23000000,46.80969,-71.225329,227600,0.0,0.0,2997.53801649,75.9289786311,1453,canceled
1174,1075,191,0,3,4,2,33,0,0,0,0,0,22,1,27,0,90302,0.0,0,19.871125,75.324231,3500000,0.0,0.0,31927.7568013,109.622483715,2564,canceled
1175,1076,85,3,1,2,1,28,0,0,0,0,1,18,1,12,0,90302,0.0,0,46.2977,16.344015,935000,0.0,0.0,4907.2037037,190.536210937,1380,canceled
1176,1077,85,3,2,2,1,28,0,0,0,0,1,18,1,12,0,90302,0.0,0,46.2977,16.344015,935000,0.0,0.0,4907.2037037,190.536210937,1380,canceled
1177,1078,85,4,2,2,1,28,0,0,0,0,1,18,1,12,0,90302,0.0,0,46.2977,16.344015,935000,0.0,0.0,4907.2037037,190.536210937,1465,canceled
1178,1079,85,3,2,2,1,28,0,0,0,0,1,18,1,12,0,90302,0.02,1000000,46.2977,16.344015,935000,0.0,0.0,4907.2037037,190.536210937,1380,canceled
1179,1080,85,3,2,2,1,28,0,0,0,0,1,18,1,12,1,4,1.0,50000000,46.2977,16.344015,935000,6.0,6.0,4907.2037037,190.536210937,1380,fully_paid
1180,1081,191,3,3,4,2,33,0,0,0,0,0,22,0,27,1,5,1.0,90000000,19.871125,75.324231,3500000,6.0,6.0,31927.7568013,109.622483715,2458,fully_paid
1181,1082,91,3,2,2,1,6,0,0,0,0,0,4,0,6,0,90302,0.0,0,-7.17989,-6.819821,560000,0.0,0.0,1745.90900524,320.749820477,1380,canceled
1182,1083,288,3,2,4,1,34,0,1,1,1,0,23,0,29,0,90302,0.0,0,35.837901,50.992994,2500000000,0.0,0.0,478.205054081,5227882.84788,2458,canceled
1183,1084,288,3,6,4,1,34,0,1,1,1,0,23,0,29,0,90302,0.0,0,35.837901,50.992994,2500000000,0.0,0.0,478.205054081,5227882.84788,2458,canceled
1184,1085,288,3,6,4,1,34,0,1,1,1,0,23,0,29,0,90302,0.0,0,35.837901,50.992994,2500000000,0.0,0.0,478.205054081,5227882.84788,2458,canceled
1185,1086,91,4,2,2,1,6,0,0,0,0,0,4,0,6,1,11,1.0,140000000,-7.17989,-6.819821,560000,0.0,1.0,1745.90900524,320.749820477,1465,charged_off
1186,1087,288,3,6,4,1,34,0,1,1,1,0,23,1,29,0,90301,0.0,0,35.837901,50.992994,2500000000,0.0,0.0,478.205054081,5227882.84788,2458,canceled
1187,1088,288,4,3,4,1,34,0,1,1,1,0,23,0,29,1,1,1.0,10000000,35.837901,50.992994,2500000000,1.0,1.0,478.205054081,5227882.84788,2792,fully_paid
1188,1089,134,0,1,3,1,15,0,0,0,1,0,48,1,14,0,90301,0.0,0,-1.0,-1.0,2408000,0.0,0.0,19899.6493864,121.007157123,1947,expired
1189,1090,221,3,3,1,1,74,0,1,0,0,1,54,1,75,0,90301,0.0285714285714,10000000,40.145035,-76.215697,230800,0.0,0.0,2719.25321219,84.8762443179,1029,expired
1190,1091,292,3,3,4,4,39,0,1,1,1,1,27,0,36,0,90300,0.0,0,-0.676458,34.770223,7500000,0.0,0.0,29152.344,257.269192488,2458,expired
1191,1092,142,1,2,3,1,30,0,0,0,0,1,20,1,28,0,90300,0.0,0,-6.216204,106.963525,450000000,0.0,0.0,3963287.5,113.54210362,2108,expired
1192,1093,294,0,3,4,4,39,0,1,1,1,1,27,0,36,0,90300,0.0,0,-0.688139,34.774272,16800000,0.0,0.0,29152.344,576.282991172,2564,expired
1193,1094,288,3,6,4,1,34,0,1,1,1,0,23,0,29,0,90300,0.0,0,35.837901,50.992994,2500000000,0.0,0.0,478.205054081,5227882.84788,2458,canceled
1194,1095,288,3,6,4,1,34,0,1,1,1,0,23,0,29,0,90300,0.0,0,35.837901,50.992994,2500000000,0.0,0.0,478.205054081,5227882.84788,2458,canceled
1195,1096,288,3,6,4,1,34,0,1,1,1,0,23,0,29,0,90300,0.0,0,35.837901,50.992994,2500000000,0.0,0.0,478.205054081,5227882.84788,2458,canceled
1196,1097,288,3,6,4,1,34,0,1,1,1,0,23,0,29,0,90300,0.0,0,35.837901,50.992994,2500000000,0.0,0.0,478.205054081,5227882.84788,2458,canceled
1197,1098,288,3,6,4,1,34,0,1,1,1,0,23,0,29,0,90300,0.0,0,35.837901,50.992994,2500000000,0.0,0.0,478.205054081,5227882.84788,2458,canceled
1198,1099,288,3,6,4,1,34,0,1,1,1,0,23,0,29,0,90300,0.0,0,35.837901,50.992994,2500000000,0.0,0.0,478.205054081,5227882.84788,2458,canceled
1199,1100,276,4,2,1,1,74,0,0,0,0,0,54,1,75,1,14,0.635,127000000,45.005058,-93.290402,320000,1.0,1.0,2719.25321219,117.679368205,1115,fully_paid
1200,1101,288,4,6,4,1,34,0,1,1,1,0,23,0,29,1,1,1.0,20000000,35.837901,50.992994,2500000000,1.0,1.0,478.205054081,5227882.84788,2792,fully_paid
1201,1102,211,2,2,4,4,61,0,0,0,0,0,54,0,56,0,90299,0.0,0,47.649422,23.553423,32000,0.0,0.0,1995.41959659,16.0367273403,2253,expired
1202,1103,293,4,1,2,0,74,0,0,0,0,0,54,1,75,1,14,0.8,40000000,33.958454,-83.373013,155100,1.0,1.0,2719.25321219,57.0377187769,1465,fully_paid
1203,1104,233,4,2,3,1,75,0,0,0,1,0,55,0,76,1,3,1.0,30000000,-1.0,-1.0,1400000,1.0,1.0,179.5,7799.44289694,1994,fully_paid
1204,1105,173,4,6,3,2,26,0,0,0,0,1,14,1,23,0,90298,0.192857142857,27000000,37.977133,23.729875,678000,0.0,0.0,827.49018018,819.345070479,1994,canceled
1205,1106,284,4,3,4,2,33,0,0,0,0,0,22,0,27,1,3,1.0,10000000,-1.0,-1.0,17500000,1.0,1.0,31927.7568013,548.112418574,2792,fully_paid
1206,1107,85,3,3,2,1,28,0,0,0,0,1,18,1,12,0,90297,0.0,0,46.2977,16.344015,935000,0.0,0.0,4907.2037037,190.536210937,1380,canceled
1207,1108,240,0,6,4,1,30,0,0,0,1,1,20,1,28,0,90297,0.0,0,-7.464059,112.716554,149682100,0.0,0.0,3963287.5,37.7671566849,2564,canceled
1208,1109,261,1,0,3,1,33,0,1,0,0,1,22,1,27,0,90297,0.0,0,-1.0,-1.0,14839300,0.0,0.0,31927.7568013,464.777406454,2108,canceled
1209,1110,261,1,0,3,1,33,0,1,0,0,1,22,0,27,0,90297,0.0,0,-1.0,-1.0,14839300,0.0,0.0,31927.7568013,464.777406454,2108,canceled
1210,1111,261,1,0,3,1,33,0,1,0,0,1,22,1,27,0,90297,0.0,0,-1.0,-1.0,14839300,0.0,0.0,31927.7568013,464.777406454,2108,canceled
1211,1112,261,1,0,3,1,33,0,1,0,0,1,22,0,27,0,90297,0.00526315789474,10000000,-1.0,-1.0,14839300,0.0,0.0,31927.7568013,464.777406454,2108,canceled
1212,1113,240,3,6,4,1,30,0,0,0,1,1,20,0,28,1,14,0.46,23000000,-7.464059,112.716554,149682100,0.0,6.0,3963287.5,37.7671566849,2458,charged_off
1213,1114,171,4,2,2,1,7,0,0,0,0,0,5,1,8,0,90295,0.05,1000000,46.80969,-71.225329,227600,0.0,0.0,2997.53801649,75.9289786311,1465,canceled
1214,1115,171,4,2,2,1,7,0,0,0,0,0,5,0,8,1,0,1.0,20000000,46.80969,-71.225329,227600,1.0,1.0,2997.53801649,75.9289786311,1465,fully_paid
1215,1116,133,1,2,1,1,14,0,0,0,0,0,15,1,21,0,90295,0.0,0,52.402488,0.26782,170000,0.0,0.0,2145.16430526,79.2480089209,1166,canceled
1216,1117,261,3,3,3,1,33,0,1,0,0,1,22,0,27,0,90294,0.025,15000000,-1.0,-1.0,14839300,0.0,0.0,31927.7568013,464.777406454,1806,canceled
1217,1118,291,3,4,2,1,39,0,0,0,0,0,27,1,36,0,90294,0.0,0,-1.0,-1.0,4715000,0.0,0.0,29152.344,161.736565677,1380,canceled
1218,1119,128,2,2,1,1,14,0,1,0,0,0,14,1,21,0,90294,0.0,0,53.069756,8.823655,164200,0.0,0.0,2145.16430526,76.5442533224,1235,canceled
1219,1120,198,1,2,2,1,59,0,0,0,0,0,43,0,54,0,90294,0.0,0,50.438468,16.652681,180000,0.0,0.0,2944.31210728,61.1348231578,1583,canceled
1220,1121,296,3,6,2,1,74,0,1,1,1,1,54,1,75,0,90293,0.025,5000000,33.620465,-117.08968,130000,0.0,0.0,2719.25321219,47.8072433333,1380,expired
1221,1122,289,3,6,2,1,74,0,0,0,0,0,54,1,75,0,90293,0.0,0,37.950532,-83.625658,220000,0.0,0.0,2719.25321219,80.904565641,1380,canceled
1222,1123,171,3,2,2,1,7,0,0,0,0,0,5,0,8,0,90293,0.0,0,46.80969,-71.225329,227600,0.0,0.0,2997.53801649,75.9289786311,1380,canceled
1223,1124,289,4,6,2,1,74,0,0,0,0,0,54,1,75,1,8,1.0,90000000,37.950532,-83.625658,220000,1.0,1.0,2719.25321219,80.904565641,1465,fully_paid
1224,1125,184,1,6,3,2,33,0,0,0,1,0,22,1,27,0,90293,0.0,0,19.912735,75.350203,3500000,0.0,0.0,31927.7568013,109.622483715,2108,expired
1225,1126,509,1,6,2,1,45,1,1,0,0,1,31,1,37,0,90292,0.0722222222222,13000000,56.739251,22.923442,20000,0.0,0.0,598.452988786,33.4195005702,1583,expired
1226,1127,198,3,2,2,1,59,0,0,0,0,0,43,0,54,0,90292,0.0,0,50.438468,16.652681,180000,0.0,0.0,2944.31210728,61.1348231578,1380,canceled
1227,1128,196,4,3,2,1,74,0,0,0,0,0,54,0,75,1,0,1.0,10000000,26.386271,-80.09658,520000,0.0,1.0,2719.25321219,191.228973333,1465,charged_off
1228,1129,171,4,2,2,1,7,0,0,0,0,0,5,0,8,1,1,1.0,10000000,46.80969,-71.225329,227600,1.0,1.0,2997.53801649,75.9289786311,1465,fully_paid
1229,1130,232,2,6,3,1,33,0,0,0,0,0,0,1,27,0,90291,0.01,5000000,22.766912,75.88176,2199500,0.0,0.0,31927.7568013,68.8899008373,2071,expired
1230,1131,295,3,6,3,2,72,0,1,0,0,1,52,1,70,0,90291,0.142105263158,27000000,-1.0,-1.0,300000000,0.0,0.0,702.776687243,426878.132763,1806,expired
1231,1132,199,0,3,3,1,61,0,0,0,1,1,44,0,56,0,90291,0.0,0,45.757691,22.940111,130000,0.0,0.0,1995.41959659,65.14920482,1947,canceled
1232,1133,217,2,2,1,2,50,0,0,0,0,0,36,1,45,0,90291,0.0,0,-1.0,-1.0,1500000,0.0,0.0,7544.00556511,198.833363397,1235,expired
1233,1134,167,0,6,5,4,30,0,0,0,0,0,0,0,28,0,90291,0.0916666666667,11000000,-1.0,-1.0,300000000,0.0,0.0,3963287.5,75.6947357465,3319,expired
1234,1135,219,3,3,3,1,33,0,0,0,0,0,22,0,27,0,90291,0.05,10000000,28.349705,77.328463,27628000,0.0,0.0,31927.7568013,865.328565735,1806,canceled
1235,1136,190,3,2,1,2,29,0,0,0,0,1,19,0,25,0,90290,0.0,0,46.82258,16.830997,9500000,0.0,0.0,149545.971925,63.5256160879,1029,canceled
1236,1137,190,3,2,1,2,29,0,0,0,0,1,19,0,25,0,90290,0.0,0,46.82258,16.830997,9500000,0.0,0.0,149545.971925,63.5256160879,1029,canceled
1237,1138,190,4,2,1,2,29,0,0,0,0,1,19,0,25,1,0,1.0,10000000,46.82258,16.830997,9500000,0.0,1.0,149545.971925,63.5256160879,1115,charged_off
1238,1139,200,4,2,2,2,29,0,1,0,0,1,19,0,25,1,3,1.0,50000000,47.412771,18.915021,50000000,1.0,1.0,149545.971925,334.345347831,1465,fully_paid
1239,1140,85,4,2,2,1,28,0,0,0,0,1,18,1,12,1,9,1.0,70000000,46.2977,16.344015,935000,1.0,1.0,4907.2037037,190.536210937,1465,fully_paid
1240,1141,185,4,3,2,2,29,0,0,0,0,0,19,0,25,1,3,1.0,50000000,47.511145,18.990685,47500000,1.0,1.0,149545.971925,317.62808044,1465,fully_paid
1241,1142,291,4,4,2,1,39,0,0,0,0,0,27,1,36,1,9,1.0,20000000,-1.0,-1.0,4715000,0.0,1.0,29152.344,161.736565677,1465,defaulted
1242,1143,254,3,6,2,2,20,0,0,0,0,0,54,1,17,1,1,1.0,40000000,51.517035,-0.131344,400000,2.0,6.0,2586.33442623,154.659040201,1380,defaulted
1243,1144,254,3,6,2,2,20,0,0,0,0,0,54,1,17,0,90289,0.146666666667,22000000,51.517035,-0.131344,400000,0.0,0.0,2586.33442623,154.659040201,1380,canceled
1244,1145,171,4,2,2,1,7,0,0,0,0,0,5,0,8,1,0,1.0,10000000,46.80969,-71.225329,227600,1.0,1.0,2997.53801649,75.9289786311,1465,fully_paid
1245,1146,196,4,3,2,1,74,0,0,0,0,0,54,0,75,1,1,1.0,50000000,26.386271,-80.09658,520000,0.0,1.0,2719.25321219,191.228973333,1465,charged_off
1246,1147,198,4,2,2,1,59,0,0,0,0,0,43,0,54,1,2,1.0,20000000,50.438468,16.652681,180000,1.0,1.0,2944.31210728,61.1348231578,1465,fully_paid
1247,1148,173,4,6,3,2,26,0,0,0,0,1,14,0,23,1,2,1.0,70000000,37.977133,23.729875,678000,1.0,1.0,827.49018018,819.345070479,1994,fully_paid
1248,1149,199,3,3,3,1,61,0,0,0,1,1,44,0,56,1,9,1.0,40000000,45.757691,22.940111,130000,0.0,6.0,1995.41959659,65.14920482,1806,charged_off
1249,1150,244,1,2,2,1,74,0,0,0,0,0,54,0,75,0,90288,0.0,0,32.555602,-84.902136,381400,0.0,0.0,2719.25321219,140.259096979,1583,canceled
1250,1151,277,3,6,3,1,76,1,0,1,1,1,5,0,77,1,6,1.0,110000000,43.596659,-79.708893,174800,2.0,6.0,5431034.48276,0.0321853968254,1806,defaulted
1251,1152,70,1,2,4,3,33,0,0,0,0,0,22,0,27,0,90287,0.0,0,27.361385,95.207477,2000000,0.0,0.0,31927.7568013,62.6414192656,2457,expired
1252,1153,135,3,6,1,1,74,0,0,0,0,0,54,0,75,1,14,0.585,117000000,36.101031,-79.820668,300000,6.0,6.0,2719.25321219,110.324407692,1029,fully_paid
1253,1154,133,1,6,1,1,14,0,0,0,0,0,15,1,21,0,90287,0.0,0,52.402488,0.26782,170000,0.0,0.0,2145.16430526,79.2480089209,1166,canceled
1254,1155,133,1,4,1,1,14,0,0,0,0,0,15,1,21,0,90287,0.0,0,52.402488,0.26782,170000,0.0,0.0,2145.16430526,79.2480089209,1166,canceled
1255,1156,216,2,0,3,1,25,0,0,0,0,0,16,1,22,0,90287,0.0,0,-1.0,-1.0,187900,0.0,0.0,370.240076652,507.508537971,2071,canceled
1256,1157,153,4,3,4,2,49,0,0,0,0,0,35,0,43,1,3,1.0,10000000,19.973716,-102.279243,33000,1.0,1.0,10413.0765312,3.16909223716,2792,fully_paid
1257,1158,216,3,3,3,1,25,0,0,0,0,0,16,0,22,0,90286,0.0,0,-1.0,-1.0,187900,0.0,0.0,370.240076652,507.508537971,1806,canceled
1258,1159,292,0,3,4,4,39,0,1,1,1,1,27,1,36,0,90286,0.0,0,-0.676458,34.770223,7500000,0.0,0.0,29152.344,257.269192488,2564,expired
1259,1160,261,3,3,3,1,33,0,1,0,0,1,22,0,27,0,90286,0.09,54000000,-1.0,-1.0,14839300,0.0,0.0,31927.7568013,464.777406454,1806,canceled
1260,1161,297,0,3,3,1,30,0,0,0,1,0,20,0,28,0,90285,0.0147058823529,5000000,-4.053171,121.603903,1500000000,0.0,0.0,3963287.5,378.473678733,1947,canceled
1261,1162,216,4,3,3,1,25,0,0,0,0,0,16,0,22,1,2,1.0,20000000,-1.0,-1.0,187900,1.0,1.0,370.240076652,507.508537971,1994,fully_paid
1262,1163,128,1,2,1,1,14,0,1,0,0,0,14,1,21,0,90285,0.0,0,53.069756,8.823655,164200,0.0,0.0,2145.16430526,76.5442533224,1166,canceled
1263,1164,128,1,2,1,1,14,0,1,0,0,0,14,1,21,0,90285,0.0,0,53.069756,8.823655,164200,0.0,0.0,2145.16430526,76.5442533224,1166,canceled
1264,1165,173,4,3,3,2,26,0,0,0,0,1,14,0,23,1,0,1.0,80000000,37.977133,23.729875,678000,1.0,1.0,827.49018018,819.345070479,1994,fully_paid
1265,1166,298,2,6,1,2,59,0,1,0,1,0,43,1,54,0,90285,0.0,0,53.969511,14.776756,300000,0.0,0.0,2944.31210728,101.89137193,1235,canceled
1266,1167,298,3,6,1,2,59,0,1,0,1,0,43,1,54,0,90285,0.0,0,53.969511,14.776756,300000,0.0,0.0,2944.31210728,101.89137193,1029,canceled
1267,1168,298,4,6,1,2,59,0,1,0,1,0,43,1,54,0,90285,0.0,0,53.969511,14.776756,300000,0.0,0.0,2944.31210728,101.89137193,1115,canceled
1268,1169,298,2,6,1,2,59,0,1,0,1,0,43,1,54,0,90285,0.0,0,53.969511,14.776756,300000,0.0,0.0,2944.31210728,101.89137193,1235,canceled
1269,1170,298,3,6,1,2,59,0,1,0,1,0,43,1,54,0,90284,0.11,11000000,53.969511,14.776756,300000,0.0,0.0,2944.31210728,101.89137193,1029,canceled
1270,1171,290,2,5,2,1,33,0,1,1,1,1,22,1,27,0,90284,0.0,0,11.060426,76.973628,1390000,0.0,0.0,31927.7568013,43.5357863896,1633,canceled
1271,1172,128,3,2,1,1,14,0,1,0,0,0,14,1,21,0,90284,0.266,133000000,53.069756,8.823655,164200,0.0,0.0,2145.16430526,76.5442533224,1029,expired
1272,1173,211,1,2,4,4,61,0,0,0,0,0,54,0,56,0,90284,0.1,12000000,47.649422,23.553423,32000,0.0,0.0,1995.41959659,16.0367273403,2457,expired
1273,1174,173,4,3,3,2,26,0,0,0,0,1,14,1,23,0,90283,0.0,0,37.977133,23.729875,678000,0.0,0.0,827.49018018,819.345070479,1994,canceled
1274,1175,171,3,2,2,1,7,0,0,0,0,0,5,0,8,1,5,1.0,210000000,46.80969,-71.225329,227600,6.0,6.0,2997.53801649,75.9289786311,1380,fully_paid
1275,1176,298,4,6,1,2,59,0,1,0,1,0,43,1,54,0,90281,0.0,0,53.969511,14.776756,300000,0.0,0.0,2944.31210728,101.89137193,1115,canceled
1276,1177,298,4,6,1,2,59,0,1,0,1,0,43,1,54,1,2,1.0,40000000,53.969511,14.776756,300000,0.0,1.0,2944.31210728,101.89137193,1115,charged_off
1277,1178,173,4,3,3,2,26,0,0,0,0,1,14,0,23,1,4,1.0,90000000,37.977133,23.729875,678000,1.0,1.0,827.49018018,819.345070479,1994,fully_paid
1278,1179,153,2,3,4,2,49,0,0,0,0,0,35,0,43,0,90281,0.0,0,19.973716,-102.279243,33000,0.0,0.0,10413.0765312,3.16909223716,2253,canceled
1279,1180,153,4,3,4,2,49,0,0,0,0,0,35,0,43,0,90281,0.0,0,19.973716,-102.279243,33000,0.0,0.0,10413.0765312,3.16909223716,2792,canceled
1280,1181,302,2,1,1,1,74,1,1,0,0,1,54,1,75,0,90281,0.0,0,39.461124,-76.248893,350000,0.0,0.0,2719.25321219,128.711808974,1235,canceled
1281,1182,219,4,2,3,1,33,0,0,0,0,0,22,0,27,1,6,1.0,70000000,28.349705,77.328463,27628000,0.0,1.0,31927.7568013,865.328565735,1994,defaulted
1282,1183,221,0,2,1,1,74,0,1,0,0,1,54,1,75,0,90280,0.0133333333333,6000000,40.145035,-76.215697,230800,0.0,0.0,2719.25321219,84.8762443179,1069,canceled
1283,1184,302,3,2,1,1,74,1,1,0,0,1,54,1,75,0,90280,0.0174311926606,19000000,39.461124,-76.248893,350000,0.0,0.0,2719.25321219,128.711808974,1029,expired
1284,1185,153,3,3,4,2,49,0,0,0,0,0,35,0,43,0,90280,0.2,10000000,19.973716,-102.279243,33000,0.0,0.0,10413.0765312,3.16909223716,2458,canceled
1285,1186,270,3,5,2,1,24,0,0,0,1,0,15,0,74,0,90280,0.0,0,51.53945,-0.096832,175000,0.0,0.0,1671.23445374,104.713015944,1380,canceled
1286,1187,278,4,6,3,1,6,1,0,1,1,1,0,0,6,1,5,1.0,10000000,-5.821232,-35.230949,100000,1.0,1.0,1745.90900524,57.2767536566,1994,fully_paid
1287,1188,198,0,2,2,1,59,0,0,0,0,0,43,0,54,0,90279,0.0,0,50.438468,16.652681,180000,0.0,0.0,2944.31210728,61.1348231578,1453,canceled
1288,1189,244,0,2,2,1,74,0,0,0,0,0,54,0,75,0,90279,0.0,0,32.555602,-84.902136,381400,0.0,0.0,2719.25321219,140.259096979,1453,canceled
1289,1190,270,2,4,2,1,24,0,0,0,1,0,15,0,74,0,90279,0.0107692307692,7000000,51.53945,-0.096832,175000,0.0,0.0,1671.23445374,104.713015944,1633,expired
1290,1191,244,1,2,2,1,74,0,0,0,0,0,54,0,75,0,90279,0.00588235294118,5000000,32.555602,-84.902136,381400,0.0,0.0,2719.25321219,140.259096979,1583,expired
1291,1192,254,3,3,2,2,20,0,0,0,0,0,54,0,17,1,13,1.0,50000000,51.517035,-0.131344,400000,1.0,6.0,2586.33442623,154.659040201,1380,defaulted
1292,1193,198,3,2,2,1,59,0,0,0,0,0,43,0,54,1,7,1.0,80000000,50.438468,16.652681,180000,6.0,6.0,2944.31210728,61.1348231578,1380,fully_paid
1293,1194,241,3,3,3,2,46,0,0,0,0,0,32,0,44,0,90277,0.00625,2000000,-1.0,-1.0,3000000,0.0,0.0,3852.61206897,778.69246794,1806,expired
1294,1195,167,3,6,5,4,30,0,0,0,0,0,0,0,28,0,90277,0.283333333333,17000000,-1.0,-1.0,300000000,0.0,0.0,3963287.5,75.6947357465,3332,expired
1295,1196,133,0,4,1,1,14,0,0,0,0,0,15,1,21,0,90276,0.0571428571429,20000000,52.402488,0.26782,170000,0.0,0.0,2145.16430526,79.2480089209,1069,canceled
1296,1197,74,3,2,4,2,61,0,1,0,0,0,44,0,56,0,90276,0.0030303030303,1000000,44.212298,28.623895,500000,0.0,0.0,1995.41959659,250.573864692,2458,expired
1297,1198,305,3,6,4,2,56,0,1,1,1,1,40,1,52,0,90276,0.0,0,-1.0,-1.0,100,0.0,0.0,1447.83333333,0.0690687233799,2458,expired
1298,1199,268,3,2,4,3,75,0,0,0,1,0,55,0,76,1,5,1.0,130000000,-1.0,-1.0,5000000,2.0,6.0,179.5,27855.1532033,2458,defaulted
1299,1200,508,3,2,2,1,75,1,1,0,1,1,55,0,76,0,90276,0.0,0,10.70708,-71.628954,540000,0.0,0.0,179.5,3008.35654596,1380,expired
1300,1201,281,4,4,2,2,74,0,0,1,1,0,54,1,75,0,90276,0.02,6000000,40.7247,-73.563907,900000,0.0,0.0,2719.25321219,330.973223077,1465,expired
1301,1202,518,4,2,1,1,36,1,0,0,1,1,14,0,32,1,4,1.0,100000000,45.483101,9.235804,139000,1.0,1.0,1548.71583447,89.7517781547,1115,fully_paid
1302,1203,219,3,2,3,1,33,0,0,0,0,0,22,0,27,0,90275,0.07,7000000,28.349705,77.328463,27628000,0.0,0.0,31927.7568013,865.328565735,1806,canceled
1303,1204,41,3,5,2,1,28,0,0,0,0,0,18,1,12,0,90275,0.02,3000000,45.607591,15.245681,508000,0.0,0.0,4907.2037037,103.521278242,1380,expired
1304,1205,249,3,2,2,4,2,0,0,0,0,1,2,0,2,0,90275,0.145,29000000,-31.809638,115.774149,2350000,0.0,0.0,4257.53172314,551.96300411,1380,expired
1305,1206,255,0,2,4,1,33,0,0,0,0,0,22,1,27,0,90275,0.0,0,24.802527,92.801173,8000000,0.0,0.0,31927.7568013,250.565677062,2564,canceled
1306,1207,255,4,2,4,1,33,0,0,0,0,0,22,1,27,0,90275,0.0333333333333,1000000,24.802527,92.801173,8000000,0.0,0.0,31927.7568013,250.565677062,2792,canceled
1307,1208,196,4,6,2,1,74,0,0,0,0,0,54,0,75,1,2,1.0,50000000,26.386271,-80.09658,520000,0.0,1.0,2719.25321219,191.228973333,1465,charged_off
1308,1209,297,3,3,3,1,30,0,0,0,1,0,20,1,28,0,90274,0.0,0,-4.053171,121.603903,1500000000,0.0,0.0,3963287.5,378.473678733,1806,expired
1309,1210,114,4,3,2,1,71,1,1,0,1,1,51,0,72,1,10,1.0,30000000,-1.0,-1.0,760000,0.0,1.0,1860.97082902,408.38899146,1465,defaulted
1310,1211,193,4,3,1,1,8,1,1,1,1,0,6,0,68,1,1,1.0,50000000,47.421556,8.302713,500000,1.0,1.0,5598.81100353,89.3046755257,1115,fully_paid
1311,1212,304,2,2,1,1,10,0,1,0,1,1,14,1,9,0,90274,0.0,0,52.530561,13.386689,41700,0.0,0.0,560258.607308,0.0744299140719,1235,canceled
1312,1213,304,2,2,1,1,10,0,1,0,1,1,14,1,9,0,90274,0.0,0,52.530561,13.386689,41700,0.0,0.0,560258.607308,0.0744299140719,1235,canceled
1313,1214,304,2,2,1,1,10,0,1,0,1,1,14,1,9,0,90274,0.0,0,52.530561,13.386689,41700,0.0,0.0,560258.607308,0.0744299140719,1235,expired
1314,1215,173,4,6,3,2,26,0,0,0,0,1,14,0,23,1,0,1.0,110000000,37.977133,23.729875,678000,1.0,1.0,827.49018018,819.345070479,1994,fully_paid
1315,1216,290,0,5,2,1,33,0,1,1,1,1,22,1,27,0,90273,0.0,0,11.060426,76.973628,1390000,0.0,0.0,31927.7568013,43.5357863896,1453,expired
1316,1217,153,4,3,4,2,49,0,0,0,0,0,35,0,43,1,4,1.0,10000000,19.973716,-102.279243,33000,1.0,1.0,10413.0765312,3.16909223716,2792,fully_paid
1317,1218,214,2,6,1,2,61,0,1,0,0,0,44,0,56,0,90272,0.001,1000000,45.733108,21.241429,15000000,0.0,0.0,1995.41959659,7517.21594076,1235,canceled
1318,1219,248,3,6,3,1,77,1,0,0,1,0,54,0,62,0,90272,0.0,0,-25.826142,28.255221,133500,0.0,0.0,16496.5446584,8.09260380064,1806,canceled
1319,1220,219,3,3,3,1,33,0,0,0,0,0,22,0,27,0,90272,0.02,2000000,28.349705,77.328463,27628000,0.0,0.0,31927.7568013,865.328565735,1806,canceled
1320,1221,225,2,2,3,0,43,0,0,0,0,0,14,0,39,0,90271,0.0,0,54.662453,25.250484,9200,0.0,0.0,578.385479582,15.9063467614,2071,canceled
1321,1222,156,3,3,3,2,75,0,0,0,0,0,54,1,76,0,90271,0.0,0,10.070117,-69.347541,100000,0.0,0.0,179.5,557.103064067,1806,canceled
1322,1223,197,2,2,4,1,30,0,1,0,1,1,20,0,28,0,90271,0.0,0,-7.537695,110.788416,550000000,0.0,0.0,3963287.5,138.773682202,2253,expired
1323,1224,307,1,1,2,1,24,1,1,0,1,1,15,0,74,0,90270,0.0,0,51.550954,-1.781141,115500,0.0,0.0,1671.23445374,69.1105905228,1583,canceled
1324,1225,165,0,2,3,2,6,0,0,0,0,0,4,0,6,0,90270,0.0,0,-25.443494,-49.056411,150000,0.0,0.0,1745.90900524,85.9151304849,1947,canceled
1325,1226,211,0,2,4,4,61,0,0,0,0,0,54,0,56,1,14,0.3,12000000,47.649422,23.553423,32000,5.0,12.0,1995.41959659,16.0367273403,2564,current
